Date,Drinks
19.07.2024,8
20.07.2024,0
21.07.2024,1
22.07.2024,0
23.07.2024,6
24.07.2024,0
25.07.2024,0
26.07.2024,3
27.07.2024,3
28.07.2024,7
29.07.2024,0
30.07.2024,3
31.07.2024,0
01.08.2024,5
02.08.2024,0
03.08.2024,0
04.08.2024,0
05.08.2024,13
06.08.2024,0
07.08.2024,0
08.08.2024,0
09.08.2024,0
10.08.2024,1
11.08.2024,4
12.08.2024,1
13.08.2024,0
14.08.2024,4
15.08.2024,6
16.08.2024,0
17.08.2024,6
18.08.2024,0
19.08.2024,0
20.08.2024,12
21.08.2024,0
22.08.2024,0
23.08.2024,0
24.08.2024,0
25.08.2024,0
26.08.2024,0
27.08.2024,5
28.08.2024,6
29.08.2024,1
30.08.2024,3
31.08.2024,8
01.09.2024,0
02.09.2024,2
03.09.2024,2
04.09.2024,20
05.09.2024,0
06.09.2024,10
07.09.2024,17
08.09.2024,0
09.09.2024,0
10.09.2024,3
11.09.2024,10
12.09.2024,0
13.09.2024,5
14.09.2024,0
15.09.2024,0
16.09.2024,0
17.09.2024,0
18.09.2024,0
19.09.2024,11
20.09.2024,1
21.09.2024,9
22.09.2024,0
23.09.2024,0
24.09.2024,9
25.09.2024,0
26.09.2024,0
27.09.2024,9
28.09.2024,11
29.09.2024,6
30.09.2024,0
01.10.2024,3
02.10.2024,7
03.10.2024,10
04.10.2024,0
05.10.2024,3
06.10.2024,0
07.10.2024,10
08.10.2024,5
09.10.2024,0
10.10.2024,13
11.10.2024,0
12.10.2024,8
13.10.2024,1
14.10.2024,14
15.10.2024,0
16.10.2024,0
17.10.2024,9
18.10.2024,0
19.10.2024,0
20.10.2024,0
21.10.2024,0
22.10.2024,0
23.10.2024,18
24.10.2024,0
25.10.2024,0
26.10.2024,0
27.10.2024,1
28.10.2024,4
29.10.2024,0
30.10.2024,1
31.10.2024,0
01.11.2024,2
02.11.2024,0
03.11.2024,0
04.11.2024,0
05.11.2024,0
06.11.2024,0
07.11.2024,4
08.11.2024,0
09.11.2024,0
10.11.2024,0
11.11.2024,0
12.11.2024,12
13.11.2024,0
14.11.2024,17
15.11.2024,0
16.11.2024,0
17.11.2024,0
18.11.2024,1
19.11.2024,0
20.11.2024,0
21.11.2024,8
22.11.2024,0
23.11.2024,0
24.11.2024,0
25.11.2024,0
26.11.2024,12
27.11.2024,1
28.11.2024,2
29.11.2024,6
30.11.2024,0
01.12.2024,0
02.12.2024,0
03.12.2024,25
04.12.2024,2
05.12.2024,0
06.12.2024,8
07.12.2024,0
08.12.2024,0
09.12.2024,4
10.12.2024,16
11.12.2024,1
12.12.2024,13
13.12.2024,0
14.12.2024,0
15.12.2024,0
16.12.2024,2
17.12.2024,6
18.12.2024,0
19.12.2024,7
20.12.2024,10
21.12.2024,0
22.12.2024,4
23.12.2024,0
24.12.2024,3
25.12.2024,3
26.12.2024,2
27.12.2024,7
28.12.2024,10
29.12.2024,0
30.12.2024,2
31.12.2024,14
